,symbol,shortname,country_code
0,^BFX,BEL 20 Index,be
1,^FCHI,CAC 40 Index,fr
2,^JKSE,Composite Index,id
3,^GDAXI,DAX Index,de
4,^DJI,Dow Jones 30,us
5,^STOXX50E,Euro Stoxx 50 Index,ch
6,^HSI,Hang Seng Index,hk
7,^BVSP,IBovespa Index,br
8,^MXX,IPC Mexico Index,mx
9,^KS11,Korea Composite  Index,kr
10,IMOEX.ME,MOEX Russia Index,ru
11,^IXIC,Nasdaq Composite Index,us
12,^NSEI,Nifty 50,in
13,^N225,Nikkei 225 Index,jp
14,^NZ50,S&P / NZX 50 Index Gross,nz
15,^GSPC,S&P 500,us
16,^BSESN,S&P BSE Sensex Index,in
17,^AXJO,S&P/ASX 200 Index,au
18,^GSPTSE,S&P/TSX Composite Index,ca
19,000001.SS,Shanghai Composite Index,cn
20,^TWII,Taiwan Weighted Index,tw
21,^VIX,Volatility S&P 500 Index,us
